terminator-2-judgment-day,James Cameron
the-terminator,James Cameron
the-truman-show,Peter Weir
shaun-of-the-dead,Edgar Wright
whiplash-2014,Damien Chazelle
paris-texas,Wim Wenders
the-darjeeling-limited,Wes Anderson
battleship-potemkin,Sergei M. Eisenstein
la-dolce-vita,Federico Fellini
nights-of-cabiria,Federico Fellini
the-princess-bride,Rob Reiner
north-by-northwest,Alfred Hitchcock
the-sacrifice,Andrei Tarkovsky
la-strada,Federico Fellini
cinema-paradiso,Giuseppe Tornatore
the-hobbit-the-battle-of-the-five-armies,Peter Jackson
nostalgia-1983,Andrei Tarkovsky
stalker,Andrei Tarkovsky
mirror,Andrei Tarkovsky
the-interview-2014,"Evan Goldberg, Seth Rogen"
solaris,Andrei Tarkovsky
close-up,Abbas Kiarostami
love-exposure,Sion Sono
the-color-of-paradise,Majid Majidi
ida,Paweł Pawlikowski
boyhood,Richard Linklater
jiro-dreams-of-sushi,David Gelb
groundhog-day,Harold Ramis
rashomon,Akira Kurosawa
the-searchers,John Ford
m,Fritz Lang
bicycle-thieves,Vittorio De Sica
dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb,Stanley Kubrick
psycho,Alfred Hitchcock
harakiri,Masaki Kobayashi
dazed-and-confused,Richard Linklater
junebug,Phil Morrison
the-act-of-killing,"Joshua Oppenheimer, Christine Cynn"
raging-bull,Martin Scorsese
the-thin-red-line,Terrence Malick
fantastic-mr-fox,Wes Anderson
a-serious-man,"Ethan Coen, Joel Coen"
the-grand-budapest-hotel,Wes Anderson
short-term-12-2013,Destin Cretton
the-hobbit-the-desolation-of-smaug,Peter Jackson
the-hobbit-an-unexpected-journey,Peter Jackson
hot-fuzz,Edgar Wright
the-celebration,Thomas Vinterberg
the-hunt-2012,Thomas Vinterberg
frances-ha,Noah Baumbach
her,Spike Jonze
tokyo-story,Yasujirō Ozu
barton-fink,Joel Coen
the-silence-of-the-lambs,Jonathan Demme
happiness,Todd Solondz
zodiac,David Fincher
fanny-alexander,Ingmar Bergman
europa,Lars von Trier
ashes-and-diamonds,Andrzej Wajda
the-double-life-of-veronique,Krzysztof Kieślowski
hiroshima-mon-amour,Alain Resnais
the-last-picture-show,Peter Bogdanovich
hannah-and-her-sisters,Woody Allen
the-wolf-of-wall-street,Martin Scorsese
bottle-rocket-1996,Wes Anderson
breaking-the-waves,Lars von Trier
synecdoche-new-york,Charlie Kaufman
mulholland-drive,David Lynch
captain-phillips,Paul Greengrass
black-swan,Darren Aronofsky
amadeus,Miloš Forman
superbad,Greg Mottola
being-john-malkovich,Spike Jonze
the-polar-express,Robert Zemeckis
ghost-ship,Steve Beck
the-kings-speech,Tom Hooper
the-bling-ring,Sofia Coppola
marie-antoinette-2006,Sofia Coppola
upstream-color,Shane Carruth
the-virgin-suicides,Sofia Coppola
somewhere,Sofia Coppola
this-is-the-end,"Seth Rogen, Evan Goldberg"
beginners,Mike Mills
love-me-if-you-dare,Yann Samuell
21-grams,Alejandro González Iñárritu
cell-211,Daniel Monzón
city-of-god,"Fernando Meirelles, Kátia Lund"
vertigo,Alfred Hitchcock
seven-samurai,Akira Kurosawa
the-purge,James DeMonaco
mama-2013,Andy Muschietti
evil-dead,Fede Alvarez
three-colors-red,Krzysztof Kieślowski
three-colors-white,Krzysztof Kieślowski
three-colors-blue,Krzysztof Kieślowski
andrei-rublev,Andrei Tarkovsky
moon,Duncan Jones
